,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,result
161,EXPS_CON_PCT_TOT2,TCPEX,"Expenditures incurred,  Total type of construction",Total capital expenditures,61.60%,CAPEX_TOT_VAL
162,PRCH_AUX_TOT,EXPNS,"Auxiliary establishment, Total selected expenses",Amount of total expenses,61.60%,EXPS_TOT_VAL
163,PROP_MAR12_TOT_S,B_OWNERNUM,"Proprietor or Partner by Occupation, Total",Number of owners of the business,61.50%,OWNER_NUM_STAT
164,SURVEY_LFO_COOP_ARCHIVE,AFFILWI ,"Legal Form of Organization,  What is the Legal Form of Organization for this establishment?",Details on affiliated organization,61.40%,AFFIL_ORG_TXT
165,SUBSID_NUM,B_PARENTCO_DOMESTIC,Total number of domestic and foreign corporations directly or indirectly (all tiers) owned more than 50 percent by this corporation,Yes/No if business is more than 50% owned by another U.S. company,61.30%,OWNED_DOMESTIC_STAT
166,PAY_QTR1_PRDWRK_VAL,B_TYPS_WRKS,Payroll: production workers,Types of workers that were used by the business,61.10%,WRKR_TYPE_CHKBOX
167,OWN_PO,O3_NAME_TITLE,Owner city.,Name of third owner,61.10%,OWNER3_NAME
168,RCPT_SHPHDL_VAL,B_SALES_TOT_US,"Sales, Shipments Receipts, or Revenue - S&H","Amount of sales, revenue, and grants from domestic operations",61.10%,SALES_US_TOT_VAL
169,OWNSTAT_RACE_WHITE,O1_RACE_WHITE_WIN,Race of majority ownership - Is the race of the majority ownership of this establishment white?,Race of first owner,61.10%,OWNER_RACE_CODE
170,EMP_MAR12_PRDWRK_NUM,B_TYPS_WRKS,Production Worker Employment,Types of workers that were used by the business,61.10%,WRKR_TYPE_CHKBOX
171,GRANTS_TRANSFERS_TOT,GRNTS,"Amount of grants, transferred contributions, and similar payments",Amount of funding provided to others for research grants or contracts,61.00%,EXPS_PROV_RSRCH_VAL
172,MERCH_EST_NEW_3_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in $$00 - write-in #3,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",61.00%,SALES_US_TOT_DPCT
173,RCPT_FOOD_CNTRC_MANUF,B_CONTRACTOUT_TYPE,"Contract Feeding,  Manufacturing and other industrial plants",Type of companies that manufacturing was contracted out to,60.80%,MAN_CONTRACTOUT_CHKBOX
174,ESTAB_NUM,B_OWNERNUM,Total number of establishments,Number of owners of the business,60.80%,OWNER_NUM_STAT
175,ESTAB_NUM,B_OWNERNUM,Number of Establishments,Number of owners of the business,60.80%,OWNER_NUM_STAT
176,RCPT_TOT_PY_VAL,B_SALES_TOT_US,"Prior year Sales, Shipments, Receipts, or Revenue","Amount of sales, revenue, and grants from domestic operations",60.70%,SALES_US_TOT_VAL
177,AFFIL_OWNER_NAME,O2_NAME_TITLE,Name of the owning or controlling company,Name of second owner,60.70%,OWNER2_NAME
178,CLASS_RESALE_YES_ARCHIVE,B_REV ,"Class of Customer,  Were 75% or more of this establishment's sales to retailers/wholesalers/distributors for resale?",Types of customers that accounted for 10% or more of total sales,60.70%,CUST_TYPE_10_PCT_SALES_CHKBOX
179,AFFIL_FOR_NAME_TXT,O2_NAME_TITLE,Foreign Ownership or Control: Name,Name of second owner,60.60%,OWNER2_NAME
180,MERCH_THIS_EST_PCT,B_CONTRACTIN_TYPE ,"Merchandise Sales,  Products manufactured or assembled at this establishment",Types of companies that this business performed manufacturing for,60.60%,MAN_CONTRACTIN_CHKBOX
181,CLOSING_DATE_MONTH,B_CEASED_MONTH,Annual closing date of this corporation: Month,Month the business ceased operation,60.60%,OPSTAT_CEASED_MONTH_DATE
182,HOTEL_OWN3RD_NUM,B_OWNERNUM,Hotel Management Owned by Others: Number,Number of owners of the business,60.60%,OWNER_NUM_STAT
183,INCOM_U_INSTAL_INTER_PCT,B_CRDAMT,"Installment credit, Interest",Total amount of credit that was requested and received,60.50%,CREDIT_AMT_RECEIVED_STAT
184,EXPS_TOT_HOTEL_OWN3RD_VAL,B_WORLDEXP_TOTAL ,Hotel Management: Operating Expenses,Total worldwide operating expenses,60.50%,EXPS_WORLD_TOT_VAL
185,ACTV_MIO_NUM,B_CEASED_MONTH,Months in Operation,Month the business ceased operation,60.50%,OPSTAT_CEASED_MONTH_DATE
186,RCPT_MOTOR_TOT_PCT,B_SALES_TOT_US,"Trucking Revenue,  Total","Amount of sales, revenue, and grants from domestic operations",60.50%,SALES_US_TOT_VAL
187,CLASS_BUS_END,B_COOP,"Class of Customer,  Businesses for end use in their own operation, not for resale or production",Companies that are the clients or customers outside the business group,60.30%,COOP_PARTNER_LOC_CHKBOX
188,INCOM_U_OTHER_OTH_PCT,B_CRDSRC,"Other credit financing, Other",Other sources of credit not listed,60.20%,CREDIT_SOURCES_CHKBOX
189,RCPT_CLIENT_S_GOV,B_COOP,"Class of Customer, Federal, state, and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc.",60.20%,COOP_PARTNER_LOC_CHKBOX
190,AFFIL_SPL_RCPT_TOT,B_SALES_TOT_US,"Added child establishment,  Total Sales, Shipments, Receipts or Revenue","Amount of sales, revenue, and grants from domestic operations",60.10%,SALES_US_TOT_VAL
191,AFFIL_SPL_ROOM_RENT_TOT,B_SALES_TOT_US,"Added child establishment,   Total Sales, Shipments, Receipts or Revenue","Amount of sales, revenue, and grants from domestic operations",60.10%,SALES_US_TOT_VAL
192,INCOM_U_INSTAL_FEES_PCT,B_CRDAMT,"Installment credit, Fees",Total amount of credit that was requested and received,59.90%,CREDIT_AMT_RECEIVED_STAT
193,INCOM_LOAN_FBUS_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income,  Loans to financial businesses, Interest",Write-in of what lenders the business applied for new credit with,59.90%,CREDIT_SRCS_OTH_WRTIN_TXT
194,EMP_SUM_PRDWRK,B_TYPS_WRKS,Manufacturing:  Sum of Production Workers,Types of workers that were used by the business,59.70%,WRKR_TYPE_CHKBOX
195,BLDR_CONTNAME,RESP_CONTACT_NAME ,Builder contact name,Contact Information: Name,59.70%,CERT_NAME_TXT
196,DEPR_TOT_BUILD,B_RDEXP_DOM_DEPR,"Depreciation charges, Buildings",Amount of domestic R&D costs going to depreciation on property and equipment,59.60%,EXPS_RD_DOM_DEPR_VAL
197,PREV_OWNER_ADDR_STREET,O2_NAME_TITLE,Street Address of Former Owner or operator,Name of second owner,59.60%,OWNER2_NAME
198,JOINT_INVEST_PCT_4,O4_PCT_OWNED ,Investors: Percent of Investment of Company Investor 4,Percent owned by fourth owner,59.60%,OWNER4_PCT
199,AFFIL_OWNER_DOM_STAT,O1_OWNER_DISABLE,Ownership or Control: Status,Disability status of the first owner,59.50%,OWNER_DISABILITY_CODE
200,RCPT_APSOFT_MAIN_DVAL,B_EXPCOST_TECH,Mainframe Computer Application Software revenue,R&D capital expenditures for software,59.50%,CAPEX_RD_OPS_TECH_VAL
201,RCPT_OTHMRCH_VAL,B_SALES_PCT_GOODS,"Sales, Shipments Receipts, or Revenue - Other merchandise","Percent of domestic sales, revenues, and grants coming from selling goods to customers",59.50%,SALES_GOODS_PCT
202,INDUSTRY_STAT,B_ANYONE_10_PCT,Is this your Company's Industry - Yes/No,Yes/No if one person owns 10% or more of the company,59.50%,OWNED_10_PCT_STAT
203,RCPT_ADVERT_VAL,B_SALES_PCT_GOODS,"Sales, Shipments Receipts, or Revenue - Advertising","Percent of domestic sales, revenues, and grants coming from selling goods to customers",59.40%,SALES_GOODS_PCT
204,INCOM_LOAN_NFBUS_INT_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Loans to non-financial businesses, Interest",Write-in of what lenders the business applied for new credit with,59.30%,CREDIT_SRCS_OTH_WRTIN_TXT
205,OWN_ST,O1_NAME_TITLE,Owner state,Name of first owner,59.30%,OWNER1_NAME
206,NAME1,B_COOP,Company Name,Companieswithin the business group,59.30%,COOP_PARTNER_LOC_CHKBOX
207,RCPT_OFCEQ_VAL,B_SALES_TOT_US,"Sales, Shipments Receipts, or Revenue - Office equipment & supplies","Amount of sales, revenue, and grants from domestic operations",59.30%,SALES_US_TOT_VAL
208,PREV_OWNER_MONTH,B_CEASED_MONTH,Month acquired from Former Owner or operator,Month the business ceased operation,59.20%,OPSTAT_CEASED_MONTH_DATE
209,COST_VALUE_LAND,CPLND,Purchased cost of land or estimated value of raw land for reported construction projects,Total capital expenditures for research operations that went towards land acquisition,59.20%,CAPEX_RSRCH_LAND_VAL
210,PROD_9000000015,B_CONTRACTIN_TYPE ,The Gross Sales of each product manufactured or mined by this establishment,Types of companies that this business performed manufacturing for,59.10%,MAN_CONTRACTIN_CHKBOX
211,COOPERATIVE_STAT,B_COOP_OTH_BUS,Business Cooperative Status,Yes/No if business cooperated with other businesses or organizations on any other business activities,59.10%,COOP_OTH_BUS_STAT
212,PAY_ANN,WZWAGE,Annual Payroll Total,Amount of internal research funds allocated to payroll for internal employees,59.10%,EXPS_RSRCH_PAYROLL_VAL
213,OWNSTAT_RACE_OTH,O1_RACE_WHITE_WIN,Race of majority ownership - Is the race of the majority ownership of this establishment some other race?,Race of first owner,59.00%,OWNER_RACE_CODE
214,EXPS_CON_DOL,CPSTR,"Expenditures incurred,  construction activity",Total capital expenditures for research operations that went towards buildings and land improvement,59.00%,CAPEX_RSRCH_BUILD_VAL
215,ASSET_BGN_VAL,WZDEPR,"Gross depreciation assets total, BOY",Amount of internal research funds allocated to depreciation and amortization of assets,58.90%,EXPS_RSRCH_DEPR_VAL
216,EXPS_CON_PCT_MAIN,TCPEX,"Expenditures incurred, Maintenance and repair",Total capital expenditures,58.90%,CAPEX_TOT_VAL
217,YEAR_START_DATE,FYEND_MONTH,if fiscal or part yr  what is startdate,Month that fiscal year ends,58.80%,FY_END_DATE
218,JOINT_INVEST_PCT_3,O3_PCT_OWNED ,Investors: Percent of Investment of Company Investor 3,Percent owned by third owner,58.80%,OWNER3_PCT
219,RCPT_ELAPPL_VAL,B_SALES_TOT_US,"Sales, Shipments Receipts, or Revenue - Electronics & appliances","Amount of sales, revenue, and grants from domestic operations",58.80%,SALES_US_TOT_VAL
220,DEPR_ACCUM_VAL,WZDEPR,"Accumulated depreciation, depletion, and amortization.",Amount of internal research funds allocated to depreciation and amortization of assets,58.70%,EXPS_RSRCH_DEPR_VAL
221,OWNSTAT_RACE_BLACK,O1_RACE_WHITE_WIN,Race of majority ownership - Is the race of the majority ownership of this establishment black or African American?,Race of first owner,58.60%,OWNER_RACE_CODE
222,AFFIL_OWNER_ADDR_CNTRY_TXT,B_PARENTCO_FOREIGN,Ownership or Controlling Company: Country (if applicable),Yes/No if business is a majority-owned subsidiary of a foreign company,58.60%,OWNED_FOREIGN_STAT
223,ASSET_TOT_END,B_RDEXP_DOM_DEPR,"Depreciable assets at the end of the year,  Total Buildings and Machinery",Amount of domestic R&D costs going to depreciation on property and equipment,58.60%,EXPS_RD_DOM_DEPR_VAL
224,EXPS_CON_PCT_NEW,CPSTR,"Expenditures incurred, New construction",Total capital expenditures for research operations that went towards buildings and land improvement,58.60%,CAPEX_RSRCH_BUILD_VAL
225,RCPT_SYSOFT_MAIN_DVAL,B_EXPCOST_TECH,Mainframe Computer System Software revenue,R&D capital expenditures for software,58.50%,CAPEX_RD_OPS_TECH_VAL
226,GRANTS_TRANSFERS,B_COOP,"Did this establishment do any of the following:  Award grants, Make gifts or contributions, Make payments to, or on behalf of, specific individuals,  Pay assessments (dues) to the parent or other chapters of the same organization, or Transfer funds raised by this establishment to charities or other organizations for charitable purposes?",Nonprofit organization,58.50%,COOP_PARTNER_LOC_CHKBOX
227,MERCH_TOT_PCT,B_SALES_PCT_GOODS,"Merchandise Sales,  Total","Percent of domestic sales, revenues, and grants coming from selling goods to customers",58.50%,SALES_GOODS_PCT
228,EXPS_CON_PCT_NEW_OTH,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Other",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,58.50%,CAPEX_RD_OPS_BLDG_VAL
229,AFFIL_FORSTOCK_STAT,O2_PCT_OWNED,Foreign Ownership or Control: Percent of Voting Stock Held,Percent owned by second owner,58.40%,OWNER2_PCT
230,PREV_OWN_ACQ_DATE,O1_ACQ_BUS_YR,New Establishment: Acquisition Date,Year that the first owner initially acquired this business,58.40%,OWNER_ACQ_YEAR
231,ASSET_BGN_VAL,B_RDEXP_DOM_DEPR,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, beginning",Amount of domestic R&D costs going to depreciation on property and equipment,58.40%,EXPS_RD_DOM_DEPR_VAL
232,OWNSTAT_RACE_ASIANIND,O1_RACE_WHITE_WIN,Race of majority ownership - Is the race of the majority ownership of this establishment Asian Indian?,Race of first owner,58.30%,OWNER_RACE_CODE
233,ASSET_END_TOT_DVAL,B_RDEXP_DOM_DEPR,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, ending",Amount of domestic R&D costs going to depreciation on property and equipment,58.30%,EXPS_RD_DOM_DEPR_VAL
234,RD_STAT,RDPERWI,Research and Development Status,Details on research performed,58.30%,RSRCH_WRTIN
235,RCPT_ECOMM_OFCEQ_VAL,B_COOP,Electronic Commerce (e-commerce) - Office equipment & supplies,"Suppliers of equipment, materials, components, or software outside your business group",58.20%,COOP_PARTNER_LOC_CHKBOX
236,FOOD_DAYPART_TOT_PCT,B_SALES_PCT_GOODS,"Food and Beverage Sales,  Total","Percent of domestic sales, revenues, and grants coming from selling goods to customers",58.10%,SALES_GOODS_PCT
237,EMP_MAR12_PRD,B_CONTRACTIN_TYPE ,"Employment By Occupation,  Production - including employees who manufacture products from raw materials or semi-finished products",Types of companies that this business performed manufacturing for,58.10%,MAN_CONTRACTIN_CHKBOX
238,EXPS_ADMIN_OTHLIFE,B_OPEXPENSE ,"Adminstrative Expenses, All other activities (i.e., property and casualty, including reinsurance, etc.)",Total domestic operating expenses,58.10%,EXPS_TOT_VAL
239,INCL_COST_VALUE_LAND,CPLND,Was the purchased cost of land or estimated value of raw land included in the receipts for construction work?,Total capital expenditures for research operations that went towards land acquisition,58.00%,CAPEX_RSRCH_LAND_VAL
240,RCPT_NONML_VAL,B_SALES_PCT_GOODS,"Sales, Shipments Receipts, or Revenue - Other non-merchandise","Percent of domestic sales, revenues, and grants coming from selling goods to customers",58.00%,SALES_GOODS_PCT
241,EXPS_REPAIR_PCT,B_OPEXPENSE ,Percentage of the expenses for maintenance and repairs that represents work done by your own employees as opposed to work done by contractors or other hired labor,Total domestic operating expenses,58.00%,EXPS_TOT_VAL
242,EXPS_REPAIR_DOL,B_OPEXPENSE ,Expenses for maintenance and repairs,Total domestic operating expenses,57.90%,EXPS_TOT_VAL
243,EXPS_MAT_V1_VAL,B_RDEXP_DOM_MATERIALS,"Cost of materials, parts ?",Amount of domestic R&D costs going to materials and supplies,57.90%,EXPS_RD_DOM_MAT_VAL
244,EXPS_CON_PCT_NEW_SALE,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Sale",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,57.90%,CAPEX_RD_OPS_BLDG_VAL
245,EXPS_CON_PCT_NEW_RENT,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Rent or lease",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,57.80%,CAPEX_RD_OPS_BLDG_VAL
246,PREV_OWN_EIN_NUM,O1_ACQ_BUS_YR_DK  ,New Establishment: Former Ownership EIN,Owner 1 does not know when initially acquired ownership of this business,57.80%,O1_ACQ_BUS_YR_CODE
247,MERCH_OTHER_EST_PCT,B_CONTRACTIN_TYPE ,"Merchandise Sales,  Products manufactured or assembled for this establishment by other domestic establishments of your company (i.e., within the 50 States and District of Columbia)",Types of companies that this business performed manufacturing for,57.80%,MAN_CONTRACTIN_CHKBOX
248,RCPT_BOOK_VAL,B_SALES_TOT_US,"Sales, Shipments Receipts, or Revenue - Books","Amount of sales, revenue, and grants from domestic operations",57.80%,SALES_US_TOT_VAL
249,OPFRAN_FRAN_FRANCEE,B_OPR_FRANCHISED ,Was this establishment operating under any trademark(s) or brand name(s) authorized by a franchisor?,Yes/No if all or part of the business operates as a franchise,57.70%,FRANCHISED_STAT
250,ADD_SELFDSG_WRTIN,RESP_BUS_DESC,"Added establishment,  principal business or activity write-in description",Primary business activity,57.70%,NAICS_DESC_TXT
251,RCPT_SYSOFT_ENTR_DVAL,B_EXPCOST_TECH,Enterprise or Network System Software revenue,R&D capital expenditures for software,57.70%,CAPEX_RD_OPS_TECH_VAL
252,RCPT_CONTRACT_M,B_CONTRACTOUT_TYPE,"Contract Work done by customer in Puerto Rico,  Other manufacturing establishments",Type of companies that manufacturing was contracted out to,57.70%,MAN_CONTRACTOUT_CHKBOX
253,SURV_YEAR_STAT,RESP_REMARKS,time period for data reported,Remarks about reported data,57.60%,REMARKS_WRTIN_TXT
254,AFFIL_FOR_ADDR_CNTRY,B_PARENTCO_FOREIGN,"Country of the foreign entity (company, individual, government, etc.)",Yes/No if business is a majority-owned subsidiary of a foreign company,57.60%,OWNED_FOREIGN_STAT
255,INCOM_UNIT_CRED_TOT_PCT,B_CRDAMT,"Credit Card Products,  Total",Total amount of credit that was requested and received,57.50%,CREDIT_AMT_RECEIVED_STAT
256,RCPT_MERCH_EGG_POULT_ARCHIVE,B_SALES_PCT_US_TOT,Which majority source accounted for more than half of the total sales and receipts of this establishment?,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",57.50%,SALES_US_TOT_DPCT
257,CORP_DOM,AFFILWI ,Legal Form of Organization: What is the type of corporation?,Details on affiliated organization,57.40%,AFFIL_ORG_TXT
258,CORP_TYP_PUBLIC_ARCHIVE,AFFILWI ,Legal Form of Organization:  What is the type of corporation?,Details on affiliated organization,57.40%,AFFIL_ORG_TXT
259,INCOM_U_INSTAL_OTH_PCT,B_CRDAMT,"Installment credit, Other",Total amount of credit that was requested and received,57.40%,CREDIT_AMT_RECEIVED_STAT
260,CLASS_BUS,B_COOP,"Class of Customer,  Businesses",Companies that are the clients or customers outside the business group,57.40%,COOP_PARTNER_LOC_CHKBOX
261,OWNSTAT_RACE_PHILI,O1_RACE,Race of majority ownership - Is the race of the majority ownership of this establishment Filipino?,Race of first owner,57.40%,OWNER_RACE_CODE
262,PROD_TYPE_WRTIN_9000000033,B_IMPROCESS_MAN ,The trade for products and services manufactured or mined,Whether the business introduced new or improved methods for producing goods or providing services,57.30%,IMPROCESS_MAN_STAT
263,CERT_EMAIL,RESP_EMAIL  ,"Certification,  Email address",Contact Information: Email,57.30%,CERT_EMAIL_TXT
264,INCOM_LOAN_GOV_TOT_PCT,B_SALES_TOT ,"Loan Products Income, Loans to governments, Total","Amount of worldwide and domestic sales, revenue, and grants",57.30%,RCPT_ALL_TOT_VAL
265,RCPT_CUST_NORES_DVAL,B_SALES_PCT_GOODS,Non-residential consumer revenue,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",57.20%,SALES_GOODS_PCT
